Akkermansiaceae [Family],Prevotellaceae [Family],Bacteroidaceae [Family],Muribaculaceae [Family],Marinifilaceae [Family],Tannerellaceae [Family],Rikenellaceae [Family],Desulfovibrionaceae [Family],Deferribacteraceae [Family],Enterobacteriaceae [Family],Butyricicoccaceae [Family],Peptococcaceae [Family],Ruminococcaceae [Family],Acholeplasmataceae [Family],Anaerovoracaceae [Family],Eggerthellaceae [Family],Lachnospiraceae [Family],Bifidobacteriaceae [Family],Sutterellaceae [Family],Monoglobaceae [Family],Oscillospiraceae [Family],Lactobacillaceae [Family],Enterococcaceae [Family],Clostridiaceae [Family],Erysipelotrichaceae [Family],Erysipelatoclostridiaceae [Family]
0,4.536689641,15.53816395,94.01843247,2.33730989,0,10.73283293,6.385982701,2.808526376,0,8.643127289,2.046386324,9.761140452,1.552728504,4.924698381,1.416152969,246.0789439,0,0.535794246,0,43.41295779,20.71145764,0,0,2.498371447,0
0,7.519629576,17.03791405,95.49380255,1.674977386,0.595596459,13.54929548,5.802685929,1.674977386,0,4.505262042,1.836038943,11.78015042,0.846910887,2.172124206,1.083299665,240.2056734,0,0.932068695,0,48.35782076,16.68130902,0,0,1.635368247,0
0,8.45990012,13.83232024,78.99473784,2.166575917,0,11.50044449,8.850778725,2.245564328,0,5.157728839,0,20.96680461,0,2.015631214,1.094992301,239.2390457,0,1.094992301,0,36.08558568,18.0143548,0,0,0,0
0,6.487990632,12.26332899,93.18525329,1.109846382,0,8.232560413,5.369983797,1.697633046,0,5.854019664,2.129209299,12.69279135,0,2.015751419,1.218059966,255.1563723,0,0.850335186,0.119447678,43.29631605,19.12925474,0,0,1.817178197,0
0,8.935841581,18.69220188,105.2341621,0.602142274,1.112967898,12.44084456,8.64041152,0,0,2.48245514,0,7.623427746,0,2.985702663,1.449440134,172.4089861,0,4.135642896,1.838904901,26.55758889,20.29348179,0,0,2.639024201,0
0,10.95511314,12.83038159,81.87346384,1.580947254,1.284681438,20.3229708,8.022785854,1.284681438,0,7.874436384,2.713176154,9.110963559,0,3.172358959,0,242.6041473,0,1.213222474,1.678585724,32.87547821,15.59538407,0,0,2.404252636,0
0,8.162295985,18.53166527,130.6884548,2.068270472,1.036349558,16.37269138,5.00368473,1.946167775,0,5.509836668,2.347294482,10.07213865,2.021202961,2.566735258,0.546801333,226.2327103,0,3.078322496,0,34.87121054,14.47744402,0,0,0,0
0,10.00707771,12.33974791,91.64593091,0.842203819,0.295660112,15.52460157,4.80240657,2.451641731,0,8.384588347,2.188224281,11.01161161,2.241570261,0.842203819,1.611336906,221.7472103,0,0.942287277,0,36.16667746,17.63672423,0,0,0,0
0,8.012632661,11.87352599,86.84543074,1.638983874,0.822222737,14.38308402,4.314478301,3.66160894,0,7.085831018,1.311770963,8.994656937,3.571515897,1.264955853,1.644445475,260.5249374,0,1.245079588,0,37.53550662,28.35702884,0,0,1.488701671,0
0,8.962180132,11.95372258,90.5832538,0.98235342,0,17.53092319,4.522066028,2.76684013,0,4.981667759,0,6.540412507,0.680072548,1.394161981,2.293588907,237.8109352,0,0.98235342,1.14269607,46.68084203,13.711296,0,0,1.60805932,0
0,11.2510594,18.5066202,113.0108042,2.931835072,1.266827309,28.41785273,1.33495887,0.930355072,0.930355072,2.265356139,1.518141737,4.201233076,2.931835072,0,0.419529448,168.0023119,0,1.885866517,0,20.89322679,33.80353116,0,0,0,0
0,8.032606372,12.19093915,101.9731508,1.071449808,0,12.87133882,4.286508834,2.370732792,0,7.835915079,1.997219284,5.50313327,2.137801235,2.372822855,0.860140714,238.6256384,0,0.860140714,0.97136635,37.46881628,15.13954657,0,0,0,0
0,10.35369229,19.57798939,133.2985496,2.750561556,2.013936903,27.00231576,4.028546142,1.302646061,0,4.1100396,0.269631055,11.87604234,0,0.69049308,1.15693425,191.9736416,0,3.498626739,0,19.57732853,27.44549219,0,0,1.15693425,0
0,8.847679012,23.38636839,131.6273046,3.391624221,1.623962304,36.57518351,1.918761844,0.901827586,1.829814358,3.74460991,1.918761844,4.597572814,2.000439875,0,2.637015525,139.9197271,0,1.502601447,0,19.70116492,44.72199348,0,0,1.287490067,0
0,8.626330566,21.81105924,142.3527745,2.298070894,1.504119014,27.84766456,3.846840181,1.814273942,1.562959514,2.786734945,0,8.752243195,0,0.952050432,1.721183519,150.9692665,0,0.840824796,0,17.95433658,37.40464978,0,0,1.618529365,0.405506725
0,6.740495564,16.40177621,146.7685534,3.400575392,1.967519265,33.53776309,2.393838716,1.25286588,0,1.728289576,0,2.996997544,2.434859777,0.950585008,1.161894101,150.6756414,0,1.924034153,0,12.99036267,27.5034767,0,1.41320853,0.515266936,0
0,11.26031402,16.42518227,104.1429435,1.621096863,2.704783501,17.55288473,5.896606867,0.758873352,0,6.430218259,0,11.99492915,1.784726286,2.823301873,1.033310198,200.1315283,0,1.329312319,0,32.79466449,19.19666471,0,0,0,0
0,10.88947322,14.03838433,101.3331784,1.772848801,1.243589475,20.19319441,2.680886391,1.374209657,0,4.159903925,0.315602703,9.803823114,0,2.318906932,1.89722661,213.6059278,0,1.452681273,0,36.65757699,22.82708758,0,0,0,0
0,4.998280256,13.36475676,77.76019281,1.546787968,1.122630727,12.54066262,7.540826872,1.263212678,0,4.024027429,2.1427714,20.12932968,0.648846375,2.699703185,1.733010822,229.8933079,0,1.122630727,0.096777793,48.72203262,14.67498778,0,0,0.763256726,0
0,10.36498658,21.50358107,116.3679555,2.756080926,1.285594473,18.1192269,1.682009746,0.810170777,0.382726762,1.849063831,0,7.537632061,1.108663765,1.935524776,1.849140162,163.3239248,0,2.018481982,0.893552385,37.11577841,31.32047685,0,1.041972391,2.406390103,0
0,7.447252307,15.1713232,106.0112907,0,1.091169585,8.52906723,4.125866947,0,0,4.509892515,1.091169585,9.993545984,0,2.144551383,1.807050659,239.4851937,0,1.556478071,0,33.82644139,34.29395585,0,0.322036497,2.710316312,0
3.651095995,8.605136432,17.19471194,124.0698038,2.192889052,0.347062362,23.73031499,1.464461543,0.095747934,1.646345346,1.583824989,0,5.574061017,0,1.705185846,0,153.398262,0,2.731006651,0,13.11097541,37.25299969,0,1.705185846,0,0
0,3.368970026,8.641665244,57.84976592,0,0.096848919,5.035350054,6.394207736,2.630545733,0,5.988539045,0.822785923,15.13046851,1.499672583,3.142338505,1.149998834,323.4136232,0,0.607674543,0,45.16781087,19.87603381,0,0,1.320624351,0
0.043489305,2.755748836,12.47497465,71.50200241,1.342772289,0.890787165,7.606781686,4.416600221,0,0,5.062485546,0.831946665,15.51534437,0.470933319,0.871387381,0.470933319,264.1375948,0,0.890787165,0,41.08146881,27.22370769,0,0.279878083,0.043489305,0
0,10.41454104,16.81385913,104.3904824,1.713390706,1.166847,10.25227438,8.469834157,2.647073181,0,6.033146381,2.343168273,20.89059867,0,1.640631352,1.602165071,221.5508691,0,2.333694,0,49.30380702,29.25685309,0,0,0,0
